,001714
2017-05-02,
2017-05-03,
2017-05-04,0.00016153001227636743
2017-05-05,-0.0025546951597454903
2017-05-08,-0.00690131901438773
2017-05-09,0.0012203734974689517
2017-05-10,0.0030301971907029657
2017-05-11,-0.0076353253919796416
2017-05-12,-0.008611046452637217
2017-05-15,0.007742524171281406
2017-05-16,0.0061743958108306796
2017-05-17,-0.00018668809674915465
2017-05-18,-0.005520788552632605
2017-05-19,-0.0033538519082675355
2017-05-22,-0.005578791535584382
2017-05-23,-0.017891891834908913
2017-05-24,-0.004237884635688749
2017-05-25,-0.018386987406666888
2017-05-26,-0.002710075534269163
2017-05-31,-0.006823734233633805
2017-06-01,-0.0085964828221895
2017-06-02,0.0031313704818878296
2017-06-05,0.006628729229466002
2017-06-06,0.0001137033446083624
2017-06-07,0.007578258807320326
2017-06-08,-0.0027401525706651775
2017-06-09,0.0022644600516352753
2017-06-12,-0.005177618345021506
2017-06-13,0.007599008532731988
2017-06-14,-0.002672350178018479
2017-06-15,0.00539383252667236
2017-06-16,-0.0004101220027530328
2017-06-19,-0.00150954749328025
2017-06-20,0.0024210664181008035
2017-06-21,0.0005531513960235213
2017-06-22,-0.012209433662402347
2017-06-23,-0.0037888624301924967
2017-06-26,0.005396399887089398
2017-06-27,0.0006388751797643533
2017-06-28,-0.0028966811494652855
2017-06-29,0.002502334554910668
2017-06-30,0.0006006310776509594
