,270002
2016-12-05,
2016-12-06,0.0021476021442964344
2016-12-07,-0.004387066046167565
2016-12-08,0.002790251349453654
2016-12-09,-0.008065308921557657
2016-12-12,0.019506885951280695
2016-12-13,-0.003421278242665915
2016-12-14,0.004968163652639412
2016-12-15,0.006067477440680147
2016-12-16,-0.0018897512161035745
2016-12-19,0.00366389187249061
2016-12-20,0.004652234414874501
2016-12-21,-0.0066849766720882275
2016-12-22,-0.0003958170131306282
2016-12-23,0.006995644833562076
2016-12-26,-0.008501092095797969
2016-12-27,0.000721239935915885
2016-12-28,0.004334101318417827
2016-12-29,0.0001666918728775446
2016-12-30,-0.0018542994430927884
2016-12-31,
2017-01-03,-0.007584540037215204
2017-01-04,-0.006333744583407075
2017-01-05,0.00041904619595545256
2017-01-06,0.003932419708027712
2017-01-09,-0.004810038549027729
2017-01-10,0.0005929026094391165
2017-01-11,0.005783810601487693
2017-01-12,0.003394419228891943
2017-01-13,-0.0015625194070750803
2017-01-16,-0.0016505592085905851
2017-01-17,-0.005946421895933529
2017-01-18,-0.0042843771773328765
2017-01-19,8.784729357336207e-05
2017-01-20,-0.006951617750578398
2017-01-23,-0.0010360980048156332
2017-01-24,-0.00033827955673215726
2017-01-25,-0.0036211853592549303
2017-01-26,-0.0020776498167225377
