,000751,001714,001875,519069
2017-11-02,,,,
2017-11-03,,,,
2017-11-06,0.014502732886469749,0.009101995898906479,-0.0201593677374573,-0.00801778345491555
2017-11-07,-0.015389289358225922,-0.019223850502227968,-0.005137315200355763,-0.015315076074374323
2017-11-08,-0.003197216264378744,0.00035826719935783125,-0.0018106950042809933,-0.003491803517491676
2017-11-09,-0.0036671662348053413,-0.0053483712491979585,0.0021734633803605075,-0.006289885597131395
2017-11-10,-0.0018303180306056266,0.0031134283765552606,-0.012110671687600494,-0.011121916167319279
2017-11-13,0.00044601538236155314,0.0064157585255919525,-0.011601482853718315,-0.002744914477233573
2017-11-14,-0.006269580077673642,-0.0024024214724588377,0.006863371561005915,0.01090743620638579
2017-11-15,-0.0067644541816966886,-0.006074614184872984,-0.01580301971569542,-0.0017759664257127605
2017-11-16,-0.005683735511579746,-0.009071999013835264,0.002405192602542794,-0.01060381131537591
2017-11-17,-0.03950913716437854,-0.034888390682347614,-0.010983908984072421,-0.018714108828556508
2017-11-20,-0.003661975819483132,-0.009611590592627284,-0.03004748609816066,-0.01313917125239028
2017-11-21,-0.025597788739730065,-0.028905435281929126,0.004663251846717342,-0.030599821535501892
2017-11-22,-0.010529107959659334,-0.01211338531920858,-0.0022989797680097457,-0.0039058777902060138
2017-11-23,-0.0055469350949552965,0.010735721700836032,0.019793890227811195,0.026863547217206407
2017-11-24,-0.013761244543012197,-0.007898794526493558,0.012921045760852179,-0.00720386749383195
2017-11-27,-0.003093246142524375,-0.0011007858195994924,0.003419854147096557,0.005296302310149659
2017-11-28,0.007608709061556196,0.004190813496949719,-0.017624223904531444,-0.0046543643863101725
2017-11-29,-0.0066740687620292505,-0.003949709787670175,0.0002631267842476692,0.001124111389843141
2017-11-30,-0.006736814730362473,0.00044763688493343334,-0.007810696743674184,0.004648584494088115
2017-12-01,0.011500946375605503,0.013421875958968155,-0.003716392624696807,0.0021776485382698496
2017-12-04,0.002971761104012316,-0.009292204193432019,-0.0020148799580230747,-0.008318130771640675
2017-12-05,-0.023694873383279802,-0.02521870404885085,-0.01608307509593443,-0.014766246020348373
2017-12-06,0.005132564586980304,0.00632117083056305,-0.020629183779366178,0.005348931508966537
2017-12-07,0.00041812218352343944,0.00844957087290632,0.01843045667135912,0.008878977808415733
2017-12-08,0.0019519813795618735,-0.009036601187968119,0.0013371529648558145,-0.008803365036364585
2017-12-11,-0.0007509961798024545,-0.010069798590492285,-0.014186537988230663,-0.017632974924732814
2017-12-12,0.017014899010081797,0.01957899173197375,0.012516344835301951,0.020892228450265393
2017-12-13,-0.006868278126697103,2.5718316221556847e-05,-0.010980359291520081,-0.011054544496817975
2017-12-14,0.013142441709359298,0.010852452777639132,0.010812047240733702,0.00860846731276943
2017-12-15,0.004554449493336388,0.012002123124860709,0.006161760663515481,0.01108076510692868
2017-12-18,-0.0019346252362261174,-0.00030999166523648647,0.0018559319563176135,-0.003086309553185118
2017-12-19,-0.013138948828277597,-0.014512490166068037,-0.008472961916899058,-0.014646990247092484
2017-12-20,0.002277574660451309,0.008875292713045546,-0.005663037956645578,-0.00010646750237686131
2017-12-21,-0.003275098054595471,-0.010738964359925163,-0.019431720779014894,-0.010836906553985282
2017-12-22,0.00370966622549207,0.0010539288498305766,0.008593809796596297,0.002763214213861942
2017-12-25,-0.003091382978956614,-0.0009148001222544222,0.006424125537557557,0.005255617848582084
2017-12-26,-0.009194545672048915,-0.0057562300160727276,-0.008542878133690812,-0.005403196552419054
2017-12-27,0.0018246402750385915,0.013173067318631215,0.014056333014501377,0.012822033865667049
2017-12-28,-0.0011467798069519919,-0.005412564771856143,-0.010119635181825126,-0.008792973911241342
2017-12-29,0.007725369093553924,0.0028589469598157002,-0.003962335441275666,0.00019999546403126622
2017-12-31,,,,
