,001714,005827,519712
2019-05-06,,,
2019-05-07,-0.0012058084246520107,0.011568666185909349,0.004851191540580668
2019-05-08,-0.023932880870482842,-0.01290679212767265,-0.0065722521799652656
2019-05-09,-0.004935681896922395,-0.022275755275081632,0.002698768393855855
2019-05-10,0.024524213821954577,0.018812814300394498,-0.0001535158459604613
2019-05-13,-0.0165945647324498,0.001912529653731565,-0.001168606943324213
2019-05-14,-0.007823063537945152,-0.01792477773414869,-0.008172729585285587
2019-05-15,0.012952428214508815,0.025779804235386283,-0.00555621966975095
2019-05-16,-0.008272790229435723,0.003735654401277211,-0.006430038386683989
2019-05-17,-0.00017910977531587768,0.003796996527256291,0.006863625267419238
2019-05-20,-0.013382549529227794,-0.016530822924984534,0.003194936433340456
2019-05-21,0.003651645336546938,-0.00811207277703474,-0.0040043277644525865
2019-05-22,0.0031261484331548406,0.0015348238917929358,0.007909872693079856
2019-05-23,-0.01404376873148927,-0.015103175844162875,-0.0070795158577504624
2019-05-24,-0.0018627016706904698,0.003770114053793572,-0.007081134234331432
2019-05-27,0.007091444362552268,-0.003807538774292407,0.0041757796878585385
2019-05-28,-0.0005968498238213549,0.005261981619740785,-0.01045370923425204
2019-05-29,-0.007129411527853291,-0.00874862964563028,-0.00794939547001694
2019-05-30,-0.0016906353623667991,-0.004091196589466439,-0.002071880896363343
2019-05-31,0.006885931097748932,-0.0025713624559512427,-6.473121202876797e-05
2019-06-03,-0.002062537268564979,0.004033504131420784,-0.006747779530628439
2019-06-04,-0.001409084537346561,-0.007216751838298396,0.006202105153050974
2019-06-05,0.00845693934874947,-0.0007897522019801873,0.007037996461200735
2019-06-06,-0.0033817359338239594,0.0037609241471769916,0.004768486262050509
2019-06-10,0.005166055010093151,0.018254438996422317,-0.003433257193643291
2019-06-11,0.0013763251896148354,0.0029865613226123244,-0.0029167002783423435
2019-06-12,-0.00384811166727439,-0.009169604257687869,0.0007877735502705985
2019-06-13,-0.0026332136073229373,-0.0022446975253879176,0.0032211363489234035
2019-06-14,-0.0010723477520280245,0.0046001147194819625,0.002015501662223307
2019-06-17,-0.007114818026714653,0.00047804067981882525,-0.0025506800591150736
2019-06-18,0.005287657019352077,0.01035961509790706,0.00208156292174988
2019-06-19,0.030553276744534452,0.033991348749231154,0.02289041081131904
2019-06-20,-0.010691918464419414,-0.0018282036477643704,-0.015307926734425381
2019-06-21,0.011355059808120682,0.0006224577808584542,0.01841088989765871
2019-06-24,-0.0025072381546590305,0.00917338789017208,-0.0012929090714774993
2019-06-25,0.0027256194536922074,0.005238475184515923,-0.0002799638241062219
2019-06-26,-0.00024917259274293,-0.003921143216977896,0.0008037977212602687
2019-06-27,0.0038108787224118146,0.013482633710550695,-0.001790192908055932
2019-06-28,-0.0013272946189807344,0.004350186301426584,-0.0009845165163150371
2019-06-30,,,
2019-07-01,0.023312423215262834,-0.009355453372758893,0.008399990513338285
