,270002,519700
2019-08-02,,
2019-08-05,,
2019-08-06,-0.007730660352291863,-0.012062821256374368
2019-08-07,0.011560665241516666,0.008176101740257624
2019-08-08,-0.0019698069804068297,0.0037258645346589514
2019-08-09,0.013661411973413307,0.009928943927398293
2019-08-12,-0.011860662029097746,-0.0022737801797489965
2019-08-13,0.002958204330981151,-7.4425343136175215e-06
2019-08-14,0.007313751669145829,0.011133266676287112
2019-08-15,-0.020089374690430928,-0.017872668357568067
2019-08-16,-0.000527684520197802,0.0010510123129583437
2019-08-19,-0.011282611860603309,-0.0014219897961071926
2019-08-20,-0.001821590984651733,-0.0004490191572701363
2019-08-21,-0.0024040445466223526,-0.00091310665350397
2019-08-22,0.0009321591375159866,9.225432672788081e-05
2019-08-23,-0.0033785119781644113,-0.006315711847622252
2019-08-26,-0.002774783244918977,-0.0025423548328700196
2019-08-27,-0.004909640712197572,0.0020373991752529186
2019-08-28,0.0034842116596643935,0.0042500150570465856
2019-08-29,0.004229522751398318,0.00966531833051254
2019-08-30,0.002968472415011303,0.001455261110656525
2019-09-02,-0.009710228481945249,-3.996939349182327e-05
2019-09-03,-0.0008939488038914867,0.00016072888568485766
2019-09-04,-0.009890475979261848,-0.008848903616965664
2019-09-05,-0.0032384452093732197,-0.00027323903845810626
2019-09-06,-0.0007396134228014883,0.0008165372123034587
2019-09-09,0.0028941368653703226,0.007966990291909726
2019-09-10,0.004448782612299973,0.004002757998868178
2019-09-11,0.008324009255462506,0.0053174466858109115
2019-09-12,-0.006113618618533989,-0.004044637380626881
2019-09-16,0.00654108580444579,0.008056313607853416
2019-09-17,0.012618195383608866,0.006984054283083574
2019-09-18,0.0006690991890720976,0.0003129158659749276
2019-09-19,0.0007735325404834015,0.005842816523497163
2019-09-20,0.0010870611987701118,-0.0001342860237552035
2019-09-23,0.007040328977112598,0.005418648007605498
2019-09-24,0.0004456303247364346,0.00247624570530669
2019-09-25,0.004863286138788392,0.001729610374915036
2019-09-26,0.008880118765052014,0.006981312507379878
2019-09-27,-0.0024373827964335737,-0.0032410534592571816
2019-09-30,0.008140525871235704,0.004615905507046825
