,270002
2018-08-02,
2018-08-03,
2018-08-06,0.007927445175745507
2018-08-07,-0.0207937772630582
2018-08-08,0.01163673850758451
2018-08-09,-0.02331762527597303
2018-08-10,-0.00010557465441141112
2018-08-13,-0.005600920832420364
2018-08-14,0.0035666466727788393
2018-08-15,0.01818643595616798
2018-08-16,-0.0076971651277270015
2018-08-17,0.01891338611901494
2018-08-20,-0.007975950942024967
2018-08-21,-0.010750708034933387
2018-08-22,0.006265166340624573
2018-08-23,-0.002195907070382752
2018-08-24,-0.003965107571364257
2018-08-27,-0.0166641880459788
2018-08-28,0.0026343291836117277
2018-08-29,0.00042140046907790385
2018-08-30,0.008617341301166648
2018-08-31,-0.0031507593454099814
2018-09-03,-0.0006348343028884651
2018-09-04,-0.010398957840829448
2018-09-05,0.013357710513315246
2018-09-06,0.005122753830453686
2018-09-07,0.0012670000691266115
2018-09-10,0.009631701251161973
2018-09-11,0.002294086838396492
2018-09-12,0.0023640747820683483
2018-09-13,5.015108541206459e-05
2018-09-14,-0.00038919491750655233
2018-09-17,0.004845687293312473
2018-09-18,-0.021034389532044395
2018-09-19,-0.012908661525643295
2018-09-20,0.0012360144858079014
2018-09-21,-0.024109744042580816
2018-09-25,-0.001576347506828668
2018-09-26,-0.005639537834932984
2018-09-27,0.0037162775246460944
2018-09-28,-0.006638647923970398
