,270002,519712
2018-11-02,,
2018-11-05,,
2018-11-06,0.0038819311810237567,0.0021123609183025804
2018-11-07,0.006352107305355625,0.006391656055064532
2018-11-08,0.010669335949513914,0.00550018608294589
2018-11-09,0.007726403119500014,0.007330745909647551
2018-11-12,-0.011625782966349085,0.00115641067985095
2018-11-13,-0.021658119859010005,-0.01495222216972647
2018-11-14,0.007467448445743985,0.008500212343257485
2018-11-15,-0.011648136130943287,-0.006454109422297183
2018-11-16,-0.004758418560806277,-0.0049337559562731
2018-11-19,-0.011309998571751412,-0.012481278533333362
2018-11-20,0.012973722258224574,0.0039877640200254305
2018-11-21,-0.011863694709521422,-0.008957837472788333
2018-11-22,0.005536561867147571,0.006864608532194172
2018-11-23,0.01727073075519403,0.0029861572846034967
2018-11-26,0.0025584694385275553,0.0050396652319489865
2018-11-27,0.004975502994774894,0.004544002005700598
2018-11-28,-0.011037771168945554,-0.007776460277362451
2018-11-29,0.018183913221752057,0.010007201816294664
2018-11-30,-0.010841232427777125,-0.008567615139732032
2018-12-03,0.0035146203729974346,0.014828519156510067
2018-12-04,-0.001697757161868596,-0.0008890146452160685
2018-12-05,-0.008332321373840879,-0.00559826532605312
2018-12-06,0.009524101758027537,-0.0017851976926881452
2018-12-07,0.00032945819390894915,-3.7135213425631974e-05
2018-12-10,0.001887552469728715,-0.002165117533697858
2018-12-11,-0.00264182973409266,0.003196671005549545
2018-12-12,0.0037662881257055636,0.0011678002779039742
2018-12-13,-0.010585255777169511,-0.004846840633604188
2018-12-14,0.010059375572663898,-0.0029287329721150446
2018-12-17,-0.0018149817711685667,-0.011277314607290645
2018-12-18,0.0027033583058211352,-0.0009805124828347056
2018-12-19,0.011218284056391026,-2.680677069311077e-05
2018-12-20,0.00438322604953334,0.005227757707050973
2018-12-21,0.00724380021938742,0.002567313429168938
2018-12-24,-0.004988880825958608,0.003190765930873418
2018-12-25,-0.002813204928455937,0.0008617681141742661
2018-12-26,0.002952785082411813,0.0024246484471850405
2018-12-27,0.017109136590552132,0.012143222102804385
2018-12-28,-0.004522741418192977,-0.0017505943793325596
2018-12-31,,
