,000751,519069,519700,519712,519736
2015-12-03,,,,,
2015-12-04,,,,,
2015-12-07,0.00534181169677117,0.004054147421680199,0.008816899328550676,0.006710910328378894,0.006294127596743859
2015-12-08,-0.003894151702911852,0.002956640564240831,-0.004065617287063561,0.004209292275271115,0.008554166259963192
2015-12-09,-0.006232322840965088,-0.008036834119160674,-0.008336478548487403,-0.004840857163785239,-0.006796656926743916
2015-12-10,0.00246583812252843,0.0028051575419640873,0.0031064531129191275,0.0017169209220901926,0.0002831894200903129
2015-12-11,-0.008438416968193474,-0.00797938233194373,-0.014979108748737646,-0.009558725231358922,-0.007541126263428288
2015-12-14,-0.025536906609422205,-0.02297410743968431,-0.02294878185987481,-0.026758160292832178,-0.02762442012596167
2015-12-15,0.007424419347401012,0.008680100992256246,0.015182933495556328,0.016548860058005377,0.013750172999115517
2015-12-16,0.0018207475988105681,0.010053881654823571,0.01072355195407082,0.010020198725277818,0.009464146011174512
2015-12-17,0.003047773001288112,0.0008184674509981171,0.010127884952960464,0.007016650928900026,0.0072881430673716885
2015-12-18,0.0009482131667348792,0.0018128476516412473,-0.005475114209762544,-0.004786862748075493,-0.0007210030726725325
2015-12-21,-0.0038447267228414184,-0.016559855999081163,-0.022025823410809497,-0.013764113029770098,-0.021624813705932944
2015-12-22,2.6013517089751304e-05,0.0059943728323139656,0.007890586459122773,0.008936425009047566,0.0015084308319355255
2015-12-23,-0.0049686988664751075,-0.00017809546683122957,-0.009543286343251967,-0.01448142920447748,-0.010521391361240973
2015-12-24,0.0037591484583791024,0.004584676621996242,0.00947552781062222,0.016326238177212238,0.005808944790131276
2015-12-25,-0.0028289980946797355,0.0001292124379825843,0.0019444980168683568,0.003244989076242266,0.0033343759401802675
2015-12-28,0.016947769586187822,0.012235405137341449,0.012019273106097739,0.008395774625814534,0.020263667370986282
2015-12-29,-0.002906109903570764,-0.007506498981174614,-0.0037526819950288726,-0.0032611620939955177,-0.0027161222527680717
2015-12-30,0.0012635760851300581,0.0005625843405092645,0.010621233273705455,0.01763517764148803,0.007051199464665148
2015-12-31,-0.0007480864316705693,0.00037842454864711605,-0.006684119424255952,-0.009527314117958485,-0.013213584556183933
2016-01-04,0.015036289009630943,0.017879639686116833,-0.0007154559441513442,-0.004444939628883926,-0.00646702581845926
2016-01-05,-0.030548215326773764,-0.03350736453299297,-0.03626646861525229,-0.04439639318138333,-0.03875330688266798
2016-01-06,-0.00453857791513701,-0.007163173542501289,0.00015609707357344682,0.004482544705546987,0.005927822171356123
2016-01-07,-0.002741632158018259,0.005021462665609655,-0.0167246216136272,-0.021801866707942374,-0.023362407544546104
2016-01-08,0.015566337090448412,0.015027886672064561,0.008339340643385373,0.0004750058744410479,0.015252772453759667
2016-01-11,-0.009731920810926331,-0.0035767865003311083,-0.016696707429945667,-0.023975556865658665,-0.01848985106171286
2016-01-12,0.0018752374728814303,0.0017151890010584925,0.00402555417833339,0.009613267018658389,0.013101083549952985
2016-01-13,0.0017693765138004913,0.004238456095010501,-0.0038805167265667517,-0.008169144006232032,-0.002935660919076488
2016-01-14,-0.02876469092236489,-0.028475147491347164,-0.008620779389306499,-0.002036161270499104,-0.008357433567776962
2016-01-15,-0.0017096604877083754,0.004716747058947646,-0.003493742762089469,-0.0045208181191587204,-0.007709102224661035
2016-01-18,-0.014444124559207294,-0.011198854832959126,-0.004099712562730229,0.007979032338657932,-0.002766800654395274
2016-01-19,-0.0045660311842872225,-0.0059785564840799665,0.0006901772358032243,0.00518758104355177,0.007061670702072753
2016-01-20,-0.0014708900624362808,-0.0022042275119217303,-0.002050917511622563,-0.0021875425175628127,-0.002890235547472364
2016-01-21,-0.005710108394850422,-0.002760552763599211,-0.017542013739607842,-0.013654717497946,-0.017564827601310284
2016-01-22,0.007155513803972835,0.0062355038529994244,0.010490433194926596,0.007009303573155656,0.007871484154377106
2016-01-25,0.005218430400847129,0.008152850408437606,0.008114264336332111,0.008721531888182144,0.01877383929029608
2016-01-26,0.006473036369018859,0.009100776473103589,-0.007787322947121256,-0.006200904174940569,-0.0012019279042804198
2016-01-27,-0.0015072256161272612,0.0070308596095751685,0.003803948101875676,0.0071601990165380824,0.0028796448215513415
2016-01-28,-0.00032440175703407625,-0.004708906141538516,-0.013750893501528472,-0.016858286441603698,-0.018503839156527202
2016-01-29,-0.003162462880510253,-0.006581007833182717,0.0002407359756875227,-0.0085980257047511,0.0015964822161709247
2016-02-01,0.00522182919219516,0.008727249060841658,0.0030510717297091983,0.005981544994283827,0.012925989438728247
